x_coord,y_coord,surface,end,z_top,cwt_f10,cwt_f12,cwt_f14,cwt_f16,cwt_f18,cwt_f20,cwt_f22,cwt_f24,cwt_f26,cwt_f28,cwt_f30,DAS_name,Borehole_name
192733.7797,502794.1986,0.39,-4.5,3.8,1.0785854169567709e-08,1.3031301888023978e-08,1.3108864224189913e-08,1.0975832569499812e-08,8.136657677126357e-09,7.62965482080077e-09,7.605447025387777e-09,6.881204529568314e-09,5.9145740549580174e-09,4.260478560337986e-09,3.382326207198832e-09,120,21D0193
192716.034,502802.6856,0.39,-4.5,3.8,1.0007056575816402e-08,1.2213607363969156e-08,1.1989205365772858e-08,9.652074779963608e-09,6.5529912118184874e-09,5.743406854464012e-09,5.7814723746818864e-09,5.293460934540063e-09,4.782412739275775e-09,3.834445818281262e-09,3.098409755647965e-09,140,21D0193
192698.5373,502811.6678,0.39,-4.5,3.8,6.197734366681081e-09,7.613067206971554e-09,7.917707855272443e-09,6.66932169725777e-09,4.876886440620339e-09,4.2378746760606455e-09,3.7136126430234243e-09,2.921240808681512e-09,2.739561292914021e-09,2.4255206090767437e-09,2.0829361199229683e-09,160,21D0193
192681.1362,502820.8402,0.43,-5.2,3.5,5.356855894802284e-09,6.886171827951345e-09,7.919130087491317e-09,7.250835737934908e-09,5.786217932843601e-09,4.858999519589496e-09,4.2377420593478714e-09,3.534717877251185e-09,3.112797060410512e-09,2.347833944167249e-09,1.8227017913845285e-09,180,21D0184
192663.7351,502830.0126,0.43,-5.2,3.5,4.585972177915074e-09,5.5752762632513026e-09,5.939441834911679e-09,5.469799020677429e-09,4.117638758647446e-09,3.2651219631496523e-09,2.908607089783786e-09,2.3064483269705336e-09,1.988046184603273e-09,1.5658198271064583e-09,1.249355904318718e-09,200,21D0184
192646.334,502839.185,0.41,-3.6,3.5,3.0062671554098163e-09,3.3963704247638892e-09,3.50252865983705e-09,3.4288268242294182e-09,3.1883302959158164e-09,3.0282830346609637e-09,2.9855799546569763e-09,2.9447839668249755e-09,2.809799746238701e-09,2.1811546129236237e-09,1.6993817465755135e-09,220,21D0185
192628.933,502848.3574,0.41,-3.6,3.5,6.940136336257192e-09,7.95268228926518e-09,7.911234038478757e-09,7.2307841397309425e-09,6.1521885666903185e-09,5.465219300556809e-09,5.406482006719513e-09,5.390952907946425e-09,4.8574318695256526e-09,3.450153011720936e-09,2.682501003368681e-09,240,21D0185
192611.7707,502857.9625,0.41,-3.6,3.5,1.5944927908685928e-09,1.9628182068840654e-09,2.2838371707996064e-09,2.3436146532827413e-09,2.261237057165124e-09,1.984039535657803e-09,1.7590991192293395e-09,1.3498883711913183e-09,1.1133827390059896e-09,8.309430199155336e-10,6.718654993043698e-10,260,21D0185
192594.7404,502867.8066,0.37,-5.2,4.2,6.290189958817902e-09,7.707597603317669e-09,8.579355312826611e-09,8.01768321564572e-09,6.7165683703967085e-09,6.212957362877871e-09,5.980470381409977e-09,4.8032446547300995e-09,3.8789264249958604e-09,2.910307483359756e-09,2.4435743896828953e-09,280,21D0186
192577.7101,502877.6507,0.37,-5.2,4.2,2.515579127439278e-09,3.1360441936047742e-09,3.5576216384878942e-09,3.315853073017871e-09,2.902169303623252e-09,2.867669870642635e-09,2.8387509791102127e-09,2.436552699440484e-09,2.0107660244108303e-09,1.391549215818401e-09,1.0681006777578422e-09,300,21D0186
192543.6495,502897.3388,0.37,-5.2,4.2,3.8838521425716206e-09,4.9852834179139195e-09,5.59797355155667e-09,5.1167135442937865e-09,4.5069539521721495e-09,4.962150723127476e-09,5.288347988673616e-09,4.752912099678927e-09,3.8444306922767084e-09,2.4436868354348682e-09,1.772767714454011e-09,340,21D0186
192526.8438,502907.5543,0.37,-5.2,4.8,8.532496088411111e-09,1.0880035247567418e-08,1.1938719656241602e-08,1.0204480954819568e-08,7.852498219276448e-09,8.092071358860085e-09,8.525021530581536e-09,7.945265332447494e-09,6.628855184957683e-09,4.317128590835893e-09,3.1244278558077607e-09,360,21D0188
192510.2102,502918.0547,0.37,-5.2,4.8,6.233340887584099e-09,8.121564523023151e-09,9.206302821974528e-09,8.285447113223453e-09,7.144611928558459e-09,7.352002390383773e-09,7.254491506516243e-09,6.026499642027127e-09,4.776105494133321e-09,3.1772784800913793e-09,2.4546703930238572e-09,380,21D0188
192493.5767,502928.5551,0.37,-5.2,4.8,6.573430005731376e-09,7.671621788594266e-09,7.6061425157444e-09,6.522647136695955e-09,5.705004200527727e-09,5.907070026708679e-09,5.7782416401123245e-09,4.887692128204523e-09,4.056368635579009e-09,2.92490703349807e-09,2.4323216322025944e-09,400,21D0188
192476.9432,502939.0555,0.42,-4.5,3.3000000000000003,4.443194385562584e-09,5.549737323298691e-09,5.869733390713294e-09,5.201338306058428e-09,4.539839666321996e-09,4.7011089393964646e-09,4.686969864516425e-09,4.070775310820601e-09,3.2877835196182317e-09,2.127483067936864e-09,1.5887433076686044e-09,420,21D0189
192460.3097,502949.5559,0.42,-4.5,3.3000000000000003,3.943113173536218e-09,4.165291183491434e-09,3.890867506287395e-09,3.500162184939659e-09,3.043532676255704e-09,2.945270046353018e-09,2.986966526781176e-09,2.754512602815005e-09,2.4185238199124414e-09,1.872174196516873e-09,1.52820200521495e-09,440,21D0189
192347.2411,503028.0934,0.47,-3.95,3.0500000000000003,7.3739705084736945e-09,7.82904769797576e-09,7.501556113054415e-09,6.8289806479382465e-09,6.029216409056759e-09,5.714676100778201e-09,5.6676034283590394e-09,5.276073359228567e-09,4.604580956915059e-09,3.305637549619629e-09,2.609386312559837e-09,580,21D0192
192331.4762,503039.858,0.47,-3.95,3.0500000000000003,3.475104765115436e-09,4.287665763963512e-09,4.4744255196568314e-09,3.906608001232292e-09,3.3073924466020442e-09,3.446683393283534e-09,3.5200523200281118e-09,3.138589282178774e-09,2.6997290456113956e-09,1.849114503742065e-09,1.423486447282746e-09,600,21D0192
192315.7113,503051.6226,0.47,-3.95,3.0500000000000003,2.7560333935749804e-09,3.6066400091737294e-09,4.194161914337505e-09,3.833323716773136e-09,3.3436693885555163e-09,3.5388161843601202e-09,3.633313726226666e-09,3.203775254974219e-09,2.710089888798417e-09,1.7758933042523924e-09,1.2394251318910204e-09,620,21D0192
192299.9464,503063.3872,0.42,-3.95,3.6,2.257034136758736e-09,2.7955062071455303e-09,3.02261769749413e-09,2.6511732233527507e-09,2.14472586902938e-09,2.0978452578214202e-09,2.092400743435389e-09,1.883264674853764e-09,1.5703186770425064e-09,1.0017313466665372e-09,7.173646369814776e-10,640,21D0183
192284.3372,503075.3522,0.42,-3.95,3.6,6.063809336334418e-09,7.311620630794276e-09,7.651461464410096e-09,6.633380799467043e-09,5.556440841262072e-09,5.654222935883263e-09,5.3901296599838654e-09,4.40278454654538e-09,3.605242581224737e-09,2.530646019408228e-09,2.107505526527466e-09,660,21D0183
192269.0431,503087.7224,0.41,-5.0,3.9,3.6557927692725807e-09,4.6299197071489365e-09,5.006788702016202e-09,4.354435757258222e-09,3.4847440939311166e-09,3.4659308200226505e-09,3.482246744679712e-09,2.8998650741068752e-09,2.296965036938786e-09,1.416675096020332e-09,1.0117009448754792e-09,680,21D0174
192253.749,503100.0925,0.41,-5.0,3.9,5.625610727437859e-09,6.139633727370418e-09,5.981351839570302e-09,5.34259435920548e-09,4.4700460421846605e-09,3.924215998763612e-09,3.5557653976904673e-09,2.989487476523964e-09,2.6480042756015436e-09,2.2063641618157542e-09,1.8982482748905036e-09,700,21D0174
192178.3915,503163.2654,0.33,-7.0,3.45,4.5750874935164246e-09,5.438182804296434e-09,5.512211824735335e-09,4.586709208281375e-09,3.5238304553721187e-09,3.341892503862989e-09,3.166276520630115e-09,2.656120846195335e-09,2.2793743052054723e-09,1.631947226892225e-09,1.279071641393272e-09,800,21D0176
192163.5914,503176.2225,0.33,-7.0,3.45,2.598342581962082e-09,3.0233021386757902e-09,3.0382643752498714e-09,2.5821546808366853e-09,1.9533674461758798e-09,1.7280329182425556e-09,1.576269931011329e-09,1.237899781615146e-09,1.0242194301844354e-09,7.324787654073863e-10,5.764912726686291e-10,820,21D0176
192148.7914,503189.1797,0.7000000000000001,-5.1000000000000005,4.6000000000000005,4.933283964062689e-09,5.898548167137074e-09,6.242443321302641e-09,5.434466582003899e-09,4.2040924688917105e-09,3.732416601893693e-09,3.443841933950293e-09,2.735025564031791e-09,2.240348826949899e-09,1.600770354629194e-09,1.2857143686444916e-09,840,21D0177
192134.0812,503202.2356,0.7000000000000001,-5.1000000000000005,4.6000000000000005,8.2861073830817e-09,1.0080641979446037e-08,1.0466274354677863e-08,8.884017670534205e-09,6.69537189720716e-09,5.731021815812975e-09,5.043231296534932e-09,3.955598553997698e-09,3.374674582790209e-09,2.486846998598004e-09,2.042274270406178e-09,860,21D0177
192119.7971,503215.7598,0.39,-6.5,5.2,5.2860936139863844e-09,6.278860248651632e-09,6.059578189823861e-09,4.8102691100206946e-09,3.2552268482239766e-09,2.83893394072423e-09,2.8841641940832873e-09,2.791418619492702e-09,2.406476249104663e-09,1.6120401615279596e-09,1.214219337913371e-09,880,21D0178
192105.513,503229.2841,0.39,-6.5,5.2,6.733406134330168e-09,7.712381532512826e-09,7.490318541182443e-09,6.537288485596507e-09,6.314375220021334e-09,7.270310290016689e-09,7.1983806270925315e-09,6.2568174946002915e-09,5.44732870627868e-09,3.9008737992083095e-09,3.033001854551569e-09,900,21D0178
192091.2289,503242.8083,0.39,-6.5,5.2,2.3428570243854927e-09,2.786675113071076e-09,2.754579263937193e-09,2.312656931208354e-09,1.979052151939421e-09,2.284508094410924e-09,2.3770757713630222e-09,2.2267889823427917e-09,1.978902112474551e-09,1.3698540310725411e-09,9.995450026626e-10,920,21D0178
